Region,Acc-ID,y,Realized_1yr_lag,Realized_2yr_lag,ds
OW,62,11904.0,,,2011-01-01
OW,34,443.0,42788.0,,2011-01-01
OW,63,11904.0,,,2011-01-01
OW,31,20056.0,,,2011-01-01
SZ,67,4646.133333333333,,,2011-01-01
SZ,35,1908.3,189863.275,,2011-01-01
SZ,39,88242.7,,,2011-01-01
SZ,42,80745.6,,,2011-01-01
SZ,41,34269.6,,,2011-01-01
SZ,43,34269.6,,,2011-01-01
SZ,44,102316.675,,,2011-01-01
SZ,45,102316.675,,,2011-01-01
SZ,46,102316.675,,,2011-01-01
SZ,47,102316.675,,,2011-01-01
SZ,45,5364.3,102316.675,,2011-01-01
SZ,49,88242.7,,,2011-01-01
SZ,50,50432.8,,,2011-01-01
SZ,54,15488.1,,,2011-01-01
SZ,56,10329.033333333333,,,2011-01-01
SZ,57,10329.033333333333,,,2011-01-01
SZ,58,10329.033333333333,,,2011-01-01
SZ,62,4646.133333333333,,,2011-01-01
SZ,63,4646.133333333333,,,2011-01-01
SZ,64,4646.133333333333,,,2011-01-01
SZ,65,4646.133333333333,,,2011-01-01
SZ,66,4646.133333333333,,,2011-01-01
OW,30,52227.0,,,2011-01-01
OW,64,11904.0,,,2011-01-01
OW,65,11904.0,,,2011-01-01
OW,66,11904.0,,,2011-01-01
NW,40,0.0651444136375401,,,2011-01-01
NW,31,240593.0,,,2011-01-01
NW,33,11682.0,,,2011-01-01
NW,34,-130033.0,,,2011-01-01
NW,36,0.0728792675889389,,,2011-01-01
NW,37,130374.0,,,2011-01-01
NW,38,0.1914811911128077,,,2011-01-01
NW,42,0.0474385696227671,,,2011-01-01
NW,43,19485.1,,,2011-01-01
NW,44,0.012234479129441,,,2011-01-01
NW,45,0.0035351460412172,,,2011-01-01
NW,47,0.2514955513274643,,,2011-01-01
NW,39,18171.49999999999,,,2011-01-01
OW,67,11904.0,,,2011-01-01
NW,30,71127.0,,,2011-01-01
NW,31,25939.1,240593.0,,2011-01-01
NW,33,12246.5,11682.0,,2011-01-01
NW,35,1134.7,,,2011-01-01
NW,36,192488.0,0.0728792675889389,,2011-01-01
NW,37,22038.5,130374.0,,2011-01-01
NW,39,28204.3,18171.49999999999,,2011-01-01
NW,40,160292.5,0.0651444136375401,,2011-01-01
